sale_id,product_id,store_id,employee_id,quantity,sale_date
1,P101,S101,201,2,2026-06-01
2,P102,S102,202,3,2026-06-01
3,P103,S103,203,5,2026-06-01
4,P104,S104,204,4,2026-06-01
5,P105,S105,205,2,2026-06-01
6,P106,S101,206,3,2026-06-01
7,P107,S102,207,8,2026-06-01
8,P108,S103,208,10,2026-06-01
9,P109,S104,209,2,2026-06-01
10,P110,S105,210,4,2026-06-01
11,P101,S101,201,1,2026-06-02
12,P102,S102,202,2,2026-06-02
13,P103,S103,203,6,2026-06-02
14,P104,S104,204,3,2026-06-02
15,P105,S105,205,1,2026-06-02
16,P106,S101,206,2,2026-06-02
17,P107,S102,207,7,2026-06-02
18,P108,S103,208,9,2026-06-02
19,P109,S104,209,1,2026-06-02
20,P110,S105,210,5,2026-06-02
